Rk,Player,Tm,Sal2122,Sal2223,Signed Using,Guaranteed
375,Malik Monk,LAL,"$1,789,256 ","$9,472,219 ",Minimum Salary,"$1,789,256 "
376,Semi Ojeleye,LAC,"$1,789,256 ",,,"$1,789,256 "
377,Frank Ntilikina,DAL,"$1,789,256 ","$2,036,318 ",Minimum Salary,"$1,789,256 "
378,Didi Louzada,POR,"$1,786,878 ","$1,876,222 ",Non Bird,"$3,663,100 "
379,Luguentz Dort,OKC,"$1,782,621 ","$15,277,778 ",Minimum Salary,"$66,260,399 "
380,Daniel Gafford,WAS,"$1,782,621 ","$1,930,681 ",Minimum Salary,"$43,895,782 "
381,Terance Mann,LAC,"$1,782,621 ","$1,930,681 ",Minimum Salary,"$25,713,302 "
382,Vlatko Čančar,DEN,,"$2,098,765 ",MLE,"$6,148,053 "
383,Kevin Porter Jr.,HOU,"$1,782,621 ","$3,217,631 ",1st Round Pick,"$5,000,252 "
384,Dean Wade,CLE,"$1,782,621 ","$1,930,681 ",MLE,"$3,713,302 "
385,Jalen McDaniels,CHO,"$1,782,621 ","$1,930,681 ",Minimum Salary,"$3,713,302 "
386,Eric Paschall,UTA,"$1,782,621 ",,MLE,"$1,782,621 "
387,KZ Okpala,OKC,"$1,782,621 ",,,"$1,782,621 "
388,Isaiah Roby,OKC,"$1,782,621 ","$1,930,681 ",MLE,"$1,782,621 "
389,Jaylen Nowell,MIN,"$1,782,621 ","$1,930,681 ",MLE,"$1,782,621 "
390,Naz Reid,MIN,"$1,782,621 ","$1,930,681 ",MLE,"$1,782,621 "
391,Carsen Edwards,MEM,"$76,744 ","$1,815,677 ",,"$1,782,621 "
392,Bruno Fernando,HOU,"$1,782,621 ",,Cap space,"$1,782,621 "
393,Cody Martin,CHO,"$1,782,621 ",,MLE,"$1,782,621 "
394,Nic Claxton,BRK,"$1,782,621 ",,Minimum Salary,"$1,782,621 "
395,Chimezie Metu,SAC,"$1,762,796 ","$1,910,860 ",MLE,"$3,673,656 "
396,Drew Eubanks,TOR,,"$1,968,175 ",,"$1,762,796 "
397,Yuta Watanabe,TOR,"$1,762,796 ",,Minimum Salary,"$1,762,796 "
398,Svi Mykhailiuk,TOR,"$1,729,217 ","$1,878,720 ",Minimum Salary,"$3,607,937 "
399,Thanasis Antetokounmpo,MIL,"$1,729,217 ","$1,878,720 ",Minimum Salary,"$3,607,937 "
400,Isaac Bonga,TOR,"$1,729,217 ",,Minimum Salary,"$1,729,217 "
401,Keita Bates-Diop,SAS,"$1,729,217 ","$1,878,720 ",Minimum Salary,"$1,729,217 "
402,Moritz Wagner,ORL,"$1,729,217 ","$1,878,720 ",Minimum Salary,"$1,729,217 "
403,Isaiah Hartenstein,LAC,"$1,729,217 ",,Minimum Salary,"$1,729,217 "
404,Oshae Brissett,IND,"$1,701,593 ","$1,846,738 ",MLE,"$1,701,593 "
405,Juan Toscano-Anderson,GSW,,"$1,902,133 ",Minimum Salary,"$1,701,593 "
406,Moses Brown,DAL,"$1,720,779 ",,,"$1,701,593 "
407,Herbert Jones,NOP,"$1,700,000 ","$1,785,000 ",MLE,"$3,485,000 "
408,Gabriel Deck,OKC,"$1,690,507 ",,,"$1,690,507 "
409,Javonte Green,CHI,"$1,669,178 ","$1,815,677 ",Minimum Salary,"$3,484,855 "
410,Max Strus,MIA,"$1,669,178 ","$1,815,677 ",Minimum Salary,"$1,669,178 "
411,Gabe Vincent,MIA,"$1,669,178 ","$1,815,677 ",Minimum Salary,"$1,669,178 "
412,Kevin Pangos,CLE,"$1,669,178 ",,,"$1,669,178 "
413,Matt Thomas,CHI,"$1,669,178 ",,Minimum Salary,"$1,669,178 "
414,Jae'Sean Tate,HOU,"$1,517,981 ","$7,065,217 ",MLE,"$15,083,198 "
415,Anthony Gill,WAS,"$1,517,981 ","$1,836,090 ",Minimum Salary,"$5,351,309 "
416,Vernon Carey Jr.,WAS,"$1,517,981 ","$1,782,621 ",Cap Space,"$3,300,602 "
417,Xavier Tillman Sr.,MEM,"$1,517,981 ","$1,782,621 ",MLE,"$3,300,602 "
418,Tyrell Terry,DAL,"$1,517,981 ","$1,782,621 ",,"$3,300,602 "
419,Tre Jones,SAS,"$1,517,981 ","$1,782,621 ",MLE,"$1,517,981 "
420,Robert Woodard II,SAC,"$1,517,981 ",,,"$1,517,981 "
421,Jahmi'us Ramsey,SAC,"$1,517,981 ",,,"$1,517,981 "
422,CJ Elleby,POR,"$1,517,981 ",,Minimum Salary,"$1,517,981 "
423,Elijah Hughes,POR,"$1,517,981 ",,Minimum Salary,"$1,517,981 "
424,Paul Reed,PHI,"$1,517,981 ","$1,782,621 ",Minimum Salary,"$1,517,981 "
425,Isaiah Joe,PHI,"$1,517,981 ","$1,782,621 ",MLE,"$1,517,981 "
426,Naji Marshall,NOP,"$1,517,981 ","$1,782,621 ",MLE,"$1,517,981 "
427,Jordan Nwora,MIL,"$1,517,981 ",,Minimum Salary,"$1,517,981 "
428,Sam Merrill,MEM,"$1,517,981 ",,,"$1,517,981 "
429,Kenyon Martin Jr.,HOU,"$1,517,981 ","$1,782,621 ",MLE,"$1,517,981 "
430,Lamar Stevens,CLE,"$1,517,981 ","$1,782,621 ",MLE,"$1,517,981 "
431,Nick Richards,CHO,"$1,517,981 ","$1,782,621 ",Cap Space,"$1,517,981 "
432,Isaiah Todd,WAS,"$1,500,000 ","$1,563,518 ",MLE,"$4,899,614 "
