Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Justin Holiday,IND,49,40,28.9,3.9,9.3,0.415,2.6,6.9,0.378,1.3,2.5,0.516,0.553,0.7,0.8,0.829,0.4,2.4,2.8,1.8,0.7,0.4,1,2.1,11
Justin Holiday,SAC,25,25,25.6,2.8,8.2,0.348,2,5.8,0.342,0.8,2.3,0.362,0.471,0.6,0.8,0.762,0.4,1.8,2.2,1.5,0.8,0.6,0.8,2,8.3
Richaun Holmes,SAC,45,37,23.9,4.4,6.7,0.66,0,0.1,0.4,4.4,6.6,0.664,0.663,1.6,2,0.778,2.1,5,7,1.1,0.4,0.9,1.2,2.8,10.4
Rodney Hood,TOT,52,0,13.6,1.1,3,0.369,0.6,1.8,0.33,0.5,1.3,0.424,0.465,0.3,0.4,0.895,0.3,1.2,1.5,0.7,0.3,0.1,0.2,0.6,3.1
Rodney Hood,MIL,39,0,14.9,1.2,3.4,0.351,0.6,2.1,0.3,0.6,1.3,0.431,0.443,0.3,0.4,0.929,0.3,1.4,1.7,0.8,0.3,0.1,0.2,0.7,3.3
Rodney Hood,LAC,13,0,9.8,0.9,2,0.462,0.5,0.8,0.545,0.5,1.2,0.4,0.577,0.3,0.4,0.8,0.2,0.6,0.8,0.6,0.2,0.2,0.3,0.3,2.6
Scotty Hopson,OKC,1,0,18,2,4,0.5,0,1,0,2,3,0.667,0.5,0,0,,0,1,1,1,0,0,2,1,4
Al Horford,BOS,69,69,29.1,3.9,8.2,0.467,1.3,3.8,0.336,2.6,4.4,0.582,0.546,1.2,1.4,0.842,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.2
Talen Horton-Tucker,LAL,60,19,25.2,3.7,9,0.416,0.8,3,0.269,2.9,5.9,0.492,0.462,1.7,2.1,0.8,0.6,2.6,3.2,2.7,1,0.5,1.4,2.5,10
Danuel House Jr.,TOT,42,7,17.3,1.9,4.7,0.404,1,2.8,0.376,0.9,1.9,0.444,0.515,1,1.4,0.759,0.4,2.2,2.6,1,0.5,0.4,0.8,1.2,5.9
Danuel House Jr.,HOU,16,1,14.6,1.6,4.6,0.338,0.6,2.1,0.294,0.9,2.5,0.375,0.405,1.1,1.2,0.895,0.3,2.4,2.7,1.2,0.3,0.3,1.1,1,4.8
Danuel House Jr.,NYK,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Danuel House Jr.,UTA,25,6,19.6,2.2,4.9,0.447,1.4,3.3,0.415,0.8,1.6,0.512,0.585,1.1,1.6,0.692,0.6,2.2,2.7,1,0.6,0.5,0.6,1.4,6.8
Dwight Howard,LAL,60,27,16.2,2.2,3.7,0.612,0.1,0.3,0.533,2.1,3.4,0.618,0.63,1.6,2.4,0.658,2,4,5.9,0.6,0.6,0.6,0.8,1.9,6.2
Markus Howard,DEN,31,0,5.7,1.3,3.3,0.386,0.9,2.3,0.4,0.4,1,0.355,0.525,0.6,0.7,0.87,0.1,0.3,0.4,0.2,0.3,0,0.2,0.5,4.1
Kevin Huerter,ATL,74,60,29.6,4.7,10.3,0.454,2.2,5.6,0.389,2.5,4.7,0.53,0.559,0.6,0.7,0.808,0.4,3,3.4,2.7,0.7,0.4,1.2,2.5,12.1
Jay Huff,LAL,4,0,5,0,0.8,0,0,0.5,0,0,0.3,0,0,0,0,,0.3,0.8,1,0.3,0.3,0.3,0.3,0.3,0
Elijah Hughes,TOT,36,4,12.1,1.3,4,0.326,0.7,2.6,0.263,0.6,1.4,0.449,0.413,0.2,0.3,0.778,0.2,1.4,1.6,0.6,0.4,0.2,0.5,1.1,3.5
Elijah Hughes,UTA,14,1,8,1.1,2.6,0.417,0.7,2,0.357,0.4,0.6,0.625,0.556,0.2,0.2,1,0.1,1.1,1.2,0.4,0.3,0.1,0.5,0.5,3.1
Elijah Hughes,POR,22,3,14.6,1.5,4.9,0.296,0.7,3,0.224,0.8,1.9,0.415,0.366,0.2,0.3,0.667,0.2,1.7,1.9,0.7,0.5,0.3,0.5,1.5,3.8
Feron Hunt,NYK,2,0,4,0,1,0,0,0,,0,1,0,0,0,0,,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0
De'Andre Hunter,ATL,53,52,29.8,4.8,10.8,0.442,1.4,3.7,0.379,3.4,7.2,0.474,0.506,2.4,3.1,0.765,0.5,2.8,3.3,1.3,0.7,0.4,1.3,2.9,13.4
